timestamp_s,phase,altitude_ft,airspeed_kts,engine_rpm,engine_temp_c,vibration_g,pitch_deg,is_anomaly,anomaly_type
0.0,startup,0.0,0.0,699.72,49.41,0.0452,0.0,False,none
1.0,startup,0.0,0.16,702.87,53.31,0.0578,0.0,False,none
2.0,startup,0.93,0.63,711.53,56.99,0.067,0.0,False,none
3.0,startup,0.0,0.76,724.03,60.41,0.0753,0.0,False,none
4.0,startup,2.13,0.32,733.98,63.7,0.0835,0.0,False,none
5.0,startup,1.16,0.61,747.32,66.83,0.0879,0.0,False,none
6.0,startup,3.44,0.25,754.84,69.52,0.0919,0.0,False,none
7.0,startup,6.94,0.73,768.28,72.31,0.0953,0.0,False,none
8.0,startup,6.6,0.86,786.4,74.93,0.1003,0.0,False,none
9.0,startup,8.0,1.35,805.94,77.17,0.1031,0.0,False,none
10.0,startup,6.12,1.76,823.9,79.84,0.1056,0.0,False,none
11.0,startup,1.72,2.26,846.58,82.06,0.1101,0.0,False,none
12.0,startup,7.43,2.44,861.82,84.0,0.1142,0.0,False,none
13.0,startup,1.65,2.68,882.28,85.91,0.1176,0.0,False,none
14.0,startup,3.97,3.73,903.74,87.69,0.1193,0.0,False,none
15.0,startup,0.65,4.22,922.14,89.53,0.1227,0.0,False,none
16.0,startup,0.0,4.26,937.8,91.12,0.1242,0.0,False,none
17.0,startup,1.66,4.85,958.97,92.9,0.1266,0.0,False,none
18.0,startup,6.0,5.3,980.82,94.4,0.13,0.0,False,none
19.0,startup,7.53,5.86,1001.74,96.4,0.1316,0.0,False,none
20.0,startup,13.9,6.0,1021.45,97.79,0.1336,0.0,False,none
21.0,startup,19.59,6.41,1044.39,98.93,0.1367,0.0,False,none
22.0,startup,21.82,6.33,1063.68,100.5,0.1408,0.0,False,none
23.0,startup,17.59,6.34,1088.23,101.96,0.1421,0.0,False,none
24.0,takeoff,36.07,14.78,1289.2,104.06,0.1491,1.2,False,none
25.0,takeoff,54.59,23.74,1457.16,107.2,0.1557,2.23,False,none
26.0,takeoff,73.08,31.23,1601.56,110.16,0.1669,3.13,False,none
27.0,takeoff,94.89,38.56,1720.4,113.73,0.1767,3.9,False,none
28.0,takeoff,109.84,44.83,1818.6,117.82,0.1867,4.56,False,none
29.0,takeoff,131.55,50.04,1901.63,121.63,0.1982,5.14,False,none
30.0,takeoff,158.26,55.46,1970.92,125.49,0.2086,5.65,False,none
31.0,takeoff,181.62,60.3,2036.38,129.24,0.2184,6.09,False,none
32.0,takeoff,208.6,65.31,2090.95,133.31,0.227,6.48,False,none
33.0,takeoff,229.79,69.86,2141.7,136.91,0.2353,6.82,False,none
34.0,takeoff,257.42,73.94,2178.3,140.45,0.2425,7.12,False,none
35.0,takeoff,278.3,78.31,2217.17,143.62,0.2494,7.39,False,none
36.0,takeoff,301.31,81.64,2251.66,146.87,0.2541,7.64,False,none
37.0,takeoff,327.65,85.56,2280.38,150.08,0.2607,7.86,False,none
38.0,takeoff,349.52,89.28,2308.4,153.49,0.2631,8.05,False,none
39.0,takeoff,377.47,92.6,2334.12,156.68,0.2678,8.24,False,none
40.0,takeoff,412.06,95.79,2359.36,159.29,0.2713,8.4,False,none
41.0,takeoff,438.39,98.95,2382.7,161.51,0.2779,8.56,False,none
42.0,takeoff,464.25,102.73,2401.82,164.09,0.285,8.7,False,none
43.0,takeoff,487.76,105.24,2421.67,166.58,0.2881,8.84,False,none
44.0,takeoff,520.35,108.17,2438.31,168.8,0.2917,8.96,False,none
45.0,takeoff,550.08,110.46,2458.89,171.24,0.296,9.08,False,none
46.0,takeoff,580.62,113.57,2475.77,173.18,0.2974,9.2,False,none
47.0,takeoff,611.38,116.71,2494.53,174.99,0.2979,9.31,False,none
48.0,climb,639.72,120.35,2471.67,176.72,0.2994,8.96,False,none
