timestamp_s,altitude_ft,airspeed_kts,engine_rpm,engine_temp_c,vibration_g
0.0,14998.56,244.57,2166.55,182.08,0.2301
1.0,15038.29,246.49,2179.88,182.46,0.242
2.0,15108.03,248.47,2195.24,183.18,0.248
3.0,15146.38,249.18,2207.64,183.69,0.2512
4.0,15210.31,249.13,2210.41,184.26,0.2499
5.0,15248.05,250.86,2216.68,184.67,0.2404
6.0,15298.08,250.02,2209.8,184.43,0.2369
7.0,15339.18,251.32,2213.4,184.93,0.2374
8.0,15363.41,250.5,2215.32,184.85,0.2464
9.0,15397.38,250.67,2213.88,184.24,0.2525
10.0,15414.58,250.13,2209.73,184.87,0.2608
11.0,15429.71,249.89,2214.2,184.02,0.2685
12.0,15472.74,249.12,2207.12,183.38,0.2671
13.0,15458.63,249.14,2215.78,183.12,0.2598
14.0,15490.83,250.71,2222.47,182.76,0.2479
15.0,15486.66,250.31,2225.86,182.7,0.2427
16.0,15496.33,250.2,2229.44,182.27,0.2368
17.0,15515.62,251.86,2241.71,182.63,0.24
18.0,15530.14,252.49,2247.75,182.3,0.2466
19.0,15531.43,253.45,2249.47,183.32,0.2488
20.0,15552.87,253.37,2247.54,182.59,0.25
21.0,15561.85,254.14,2247.36,182.45,0.2468
22.0,15565.48,253.34,2236.54,183.41,0.2388
23.0,15563.39,253.09,2233.17,183.51,0.2226
24.0,15590.63,251.92,2218.85,183.46,0.2149
25.0,15606.9,253.05,2207.66,184.33,0.2051
26.0,15624.03,250.64,2201.28,183.42,0.2098
27.0,15650.27,249.99,2188.93,183.81,0.2105
28.0,15651.14,247.76,2179.13,184.15,0.2143
29.0,15685.61,245.34,2173.83,183.25,0.2176
30.0,15714.48,245.04,2169.22,182.81,0.2121
31.0,15720.59,243.67,2175.22,182.1,0.203
32.0,15741.44,243.74,2172.77,182.06,0.1909
33.0,15735.45,242.99,2176.3,180.74,0.1826
34.0,15756.11,242.4,2165.46,180.07,0.1784
35.0,15739.35,243.19,2169.25,178.99,0.1813
36.0,15739.86,241.83,2163.05,178.63,0.1851
37.0,15738.3,243.04,2151.51,178.2,0.1953
38.0,15711.92,242.9,2142.38,178.3,0.1932
39.0,15706.74,242.21,2129.39,177.83,0.1954
40.0,15697.91,241.59,2117.21,176.87,0.1882
41.0,15647.15,240.85,2103.48,176.24,0.1862
42.0,15611.66,240.94,2087.88,176.9,0.1835
43.0,15567.84,237.62,2079.56,176.96,0.1789
44.0,15549.74,236.81,2069.59,176.73,0.1862
45.0,15499.63,234.15,2070.64,177.32,0.1981
46.0,15457.38,233.9,2066.33,176.67,0.2045
47.0,15413.02,232.58,2070.34,176.54,0.2101
48.0,15352.86,231.35,2068.11,176.67,0.2145
49.0,15337.02,230.04,2081.85,176.44,0.2095
50.0,15273.97,230.28,2085.12,176.39,0.2132
51.0,15241.39,229.44,2084.99,175.77,0.2088
52.0,15220.22,228.24,2082.83,175.46,0.2083
53.0,15157.81,227.97,2076.13,174.73,0.2146
54.0,15143.68,229.26,2074.06,173.53,0.2271
55.0,15115.59,230.77,2074.65,173.44,0.2408
56.0,15084.72,230.17,2064.8,172.7,0.2416
57.0,15064.04,230.97,2059.94,172.08,0.2488
58.0,15057.8,230.9,2055.8,171.62,0.2449
59.0,15007.35,230.61,2056.31,171.96,0.2418
60.0,15010.34,229.83,2060.0,170.8,0.237
61.0,14984.19,229.16,2069.12,171.17,0.2335
62.0,14964.9,228.61,2071.27,171.14,0.2443
63.0,14917.13,227.35,2084.14,171.51,0.2566
64.0,14931.95,226.06,2096.16,170.77,0.2649
65.0,14890.64,226.01,2112.31,171.84,0.2627
66.0,14862.71,225.92,2118.35,171.87,0.2681
